time,pos_x,pos_y,yaw,pitch,roll
1642606419.664,0.0,0.0,0.0,0.0,0.0
1642606419.966,2.982039003958706,-0.9393037248554019,0.011341731480292024,-0.11910598410769771,-0.03293077561344876
1642606425.211,3.513446642778509,-1.0144323233173147,-0.11365411277862666,-0.16600297128664038,-0.0351358461638188
1642606426.421,3.973934208522206,-1.2601051199314477,-0.3040897190415587,-0.17390674035093595,0.03460714378821771
1642606427.329,4.452259586265726,-1.4435244662384712,-0.29681950681088887,-0.15741130064107334,0.03401751930813236
1642606428.035,4.968057966799829,-2.2996747868004626,-0.2242409770578692,-0.19422448887169788,-0.021360822051777927
1642606428.64,5.423363292319397,-1.748840418494251,-0.29435153029604394,-0.16303576416722534,0.03842598796835937
1642606429.246,5.9013675835034505,-2.050351304592197,-0.274529905171607,-0.16588615704132537,0.029949920309573982
1642606429.952,6.561536923704965,-2.8326663752656542,-0.18429298328268542,-0.18835262207521103,0.01371133678974622
1642606430.557,6.935414312263236,-2.1223451471582684,-0.1901024750016333,-0.16962391308449393,0.018785300710958484
1642606431.162,7.463204961697821,-2.1144702643086437,-0.10665208141770732,-0.17035378110673643,0.0017348649567655453
1642606431.767,7.958467909750778,-2.0886442175284383,-0.04799474954539885,-0.16917611992165638,-0.010976890226718052
1642606432.372,8.556209356953396,-2.802024624891326,0.03677753418878108,-0.1673543101414543,-0.03478661438358621
1642606433.078,9.054515383962185,-2.7658869118537392,0.073727249712181,-0.17533531534578778,-0.040729682611663806
1642606433.683,9.521604956210671,-2.0558276958088233,-0.018136010659828956,-0.174041818786056,-0.012050484560484104
1642606434.389,10.033022542111656,-2.242767989221524,-0.006574503878190773,-0.17811704964634856,-0.05142858625358288
1642606434.995,10.545536908215404,-2.229493302300458,-0.0062867216637489025,-0.1782885321524715,-0.05141685936169803
1642606435.701,11.127754682750941,-2.017439519627934,-0.006861133561150239,-0.17901153014739762,-0.013578744227391608
1642606436.306,11.640974902690516,-2.000184840623879,-0.008461245738216145,-0.17958439383125022,-0.014316154192041701
1642606437.012,12.174757986056132,-1.985379501158935,-0.010177016944892425,-0.18344167359333555,-0.013829518297815386
1642606437.718,12.732229830428727,-1.9731463276189456,-0.010552160849160209,-0.1852386885306016,-0.013102269718129202
1642606438.323,13.238310034253487,-2.0490845601274605,-0.0014603713370344934,-0.1853931925223345,-0.02041357448510081
1642606439.029,13.795303668119281,-2.030242380590756,-0.0036945868718211905,-0.18861275249764572,-0.018188602789473773
1642606439.735,14.368008209694706,-2.0163256756955406,-0.006711402391430493,-0.18972800760284575,-0.016739044188131637
1642606440.441,14.941541397046635,-1.9934297850049867,-0.009798189106121348,-0.18984236069371566,-0.015808261733525546
1642606441.046,15.435769541413741,-1.98036646933349,-0.013905608956798588,-0.19138883736047807,-0.01467769667279726
1642606441.651,15.95239108391657,-1.9662214000038467,-0.018675728120592993,-0.1910051541396522,-0.01332701565136893
1642606442.357,16.503421379328152,-1.837717955832752,-0.050394015267707044,-0.19307660827776899,-0.03586369495498183
1642606443.063,17.064635885291477,-1.9383469870806318,-0.017695695486969993,-0.1948231385209743,0.02612347148320723
1642606443.769,17.60842481688366,-1.920958263224482,-0.02708849597903333,-0.21680482779373095,0.027347509004107193
1642606444.375,18.10397549612941,-1.9344793789410824,-0.03173674736776426,-0.20090627325374108,-0.005090534598080397
1642606445.081,18.670481895718485,-1.9193555536246707,-0.033503244039074544,-0.2032159270946615,-0.005024301275565542
1642606445.686,19.16301970290419,-1.9348196539431775,-0.03699506458115138,-0.20561516047092368,-0.0020512584022289123
1642606446.291,19.65746978136053,-1.9463468755326971,-0.03672454389809197,-0.2040550341252593,-0.001371279067710612
1642606446.997,20.224255842749965,-1.9526790383197605,-0.04012577227020699,-0.20492628165056512,-0.0009875628102716365
1642606447.602,20.763768993136978,-1.9570458272552547,-0.03945919112869133,-0.20380911896762355,-0.0027734122749793633
1642606448.308,21.271608532640393,-1.9569256899687526,-0.04395815918890902,-0.20700014421237126,-0.00031284151003647644
1642606448.913,21.76982891166278,-1.9757808320874162,-0.044094750146269575,-0.20787744921906534,0.0013395929172499012
1642606449.518,22.261314749767067,-1.9868961381958514,-0.04447867396888026,-0.20945068239711362,0.0023187217968974544
1642606450.124,22.76492529109526,-2.000981041223678,-0.044028945556800855,-0.210670052934156,0.0028691622002881764
1642606450.83,23.314104322585056,-2.020466659113346,-0.045493073288799674,-0.21169158833256704,0.004821032479028004
1642606451.435,23.814307638401793,-2.0372263422138883,-0.04961859910276962,-0.21174641518225867,0.005938422195033207
1642606452.141,24.380058295203373,-2.0506284610981096,-0.04716065620795961,-0.2118310922447139,0.006507375846740301
1642606452.746,24.87111721942571,-2.06107754887569,-0.04752280417898323,-0.21182719871015743,0.006746244089181746
1642606453.452,25.391666847602036,-2.0705000413756136,-0.04517060502622084,-0.21610149462069533,0.0058348900817145714
1642606454.057,25.929454553314184,-2.0899532202794355,-0.04649729027314811,-0.21541014078802534,0.005272208583857647
1642606454.662,26.444288247225618,-2.053562946362719,-0.07200768442726317,-0.2280478917049388,-0.007692801668782036
1642606455.469,27.030515558861303,-2.048416265312746,0.08308666357100496,-0.21926355831531125,-0.022346284255200875
1642606456.074,27.535594970821535,-1.9774033504380935,0.12308255540320628,-0.2380818346136716,-0.030480758410643814
1642606456.78,28.06003364657502,-1.8452967665818112,0.269895465272504,-0.21067757111026977,-0.0540073441203255
1642606457.385,28.541617665554938,-1.594282206774876,0.4355733586964308,-0.19878782399782094,-0.06186451826660372
1642606458.091,28.970747183564487,-1.2932466417657136,0.5463823750373278,-0.1917445044794251,-0.08640999470182861
1642606458.797,29.45182444141369,-1.0307879782174263,0.544197736592254,-0.1691202488773399,-0.10056447531786375
1642606459.403,29.87778513713793,-0.7789274139189635,0.5474818673274289,-0.16854701577978115,-0.10430307726734578
1642606460.109,30.378019874873864,-0.49592249701767904,0.554936511450732,-0.21226479284212493,-0.10534322371947237
1642606460.815,30.82693421866629,-0.196429492643119,0.5566597498626741,-0.18702257609842426,-0.09544924939566471
1642606461.521,31.383028498142416,0.06314018890470435,0.5787322802711818,-0.17910123090477423,-0.07478042872413174
1642606462.227,31.79739720205077,0.396333693192336,0.6322230705554773,-0.21305939551841588,-0.09930511926273038
1642606462.832,32.16576399368303,0.7552625211026521,0.700737338769343,-0.18663400264302882,-0.10504131306956398
1642606463.437,32.49789580406794,1.1241261967063354,0.8057434530894387,-0.19023713124881853,-0.1194836606004027
1642606464.143,32.888617117797715,1.5232145006861466,0.8088431936109275,-0.19241354948594291,-0.11699145051297513
1642606464.849,33.28197642312262,1.9418086152753187,0.8106871106640954,-0.18012142919642354,-0.09540833305736429
1642606465.555,33.62489895988436,2.3921029075615197,0.9131317062852579,-0.1665830380927526,-0.10868614871308495
1642606466.261,33.98063653395049,2.825586876352519,0.9151025351013075,-0.17431077231164602,-0.10855200276197663
1642606466.967,34.33288556687181,3.2655343506986654,0.9195285746675123,-0.17679425547242145,-0.10554518102050069
1642606467.572,34.62145659586037,3.663636711849353,0.9430369311621938,-0.17894800444349834,-0.10404560854231885
1642606468.278,34.936604078495506,4.145504655819473,1.0098242458034452,-0.16932393006058907,-0.1137361943927864
1642606468.984,35.22739643567333,4.603272507057176,1.0092985502376046,-0.17863795015013295,-0.11303079704612502
1642606469.69,35.587227101810825,5.059749295903082,1.0252435254176024,-0.18172105559905113,-0.07455244182432512
1642606470.396,35.82530932045682,5.572369301266857,1.006782369259979,-0.18512152901122614,-0.09938398558040792
1642606471.102,36.10679723909268,6.0715745403568135,1.0032749523672535,-0.19031388024558374,-0.08213126477784502
1642606471.808,36.410320626711275,6.537968382446478,1.000866967834696,-0.1843773448818193,-0.07644091009339167
1642606472.514,36.66781390810521,7.022473530376536,0.9879779272538175,-0.18415382586684068,-0.08197266262862095
1642606473.22,37.014923492146686,7.482247052221307,0.9942922616158756,-0.18009040095321366,-0.0683704610365917
1642606473.926,37.385490510080245,7.918066286729804,1.0229255813377636,-0.19548141724069454,-0.06449807451066014
1642606474.633,37.576086648797265,8.45109149824927,1.0232380073771339,-0.1940423489200733,-0.07335484197936314
1642606475.339,37.833985034774436,8.935911841175392,1.0272147372685299,-0.19220720288724377,-0.0586575854912043
1642606475.944,38.115027583953356,9.365182178402927,1.039321821289861,-0.1859049963051975,-0.08038826391854452
